symbol,raw_crossover_events,raw_forward_5d_mean,raw_forward_5d_median,raw_positive_rate
SLV,38,0.014142127384020401,0.017142664144798703,0.7105263157894737
AAPL,32,0.012140394419398577,0.014269761009980897,0.59375
GS,45,0.006827013571663157,0.013706589198468233,0.6
GE,32,0.009388523645076856,0.013138923128496405,0.625
MSFT,35,0.014665032369431688,0.010987915784228086,0.6571428571428571
CAT,32,0.009915717138982243,0.010173004756117487,0.625
GOOGL,38,0.0037090878786570857,0.010128396080598234,0.5526315789473685
IWM,41,0.008195825623284676,0.010072827012200802,0.7073170731707317
RTX,35,0.006445411957010335,0.009131167456989608,0.5714285714285714
BAC,35,0.00457481223185334,0.008280054501624612,0.6
SPY,39,0.006046962985664482,0.007682880446266305,0.717948717948718
AMZN,44,0.002541332975643303,0.007045538155113329,0.5681818181818182
LMT,35,-0.0007826975610828521,0.006947855989893892,0.6285714285714286
XOM,48,0.004311781152938422,0.006834431252821682,0.5416666666666666
META,35,0.013051235142338552,0.006707829093603346,0.6571428571428571
WMT,41,0.005167675482027402,0.005105616177795591,0.5609756097560976
QQQ,44,-0.002294519546693688,0.004229996151918214,0.5681818181818182
CVX,46,0.001968418203346671,0.0038643582964744683,0.5434782608695652
COST,48,-0.0004745951328924275,0.0018645735958516818,0.5416666666666666
DE,43,0.0037413881741346776,0.0008027104508729899,0.5348837209302325
JNJ,35,0.0016599815911116352,-0.00010326666896143255,0.4857142857142857
JPM,42,0.0010899624747265806,-0.0012293263830285839,0.5
GLD,41,-0.00036051529143244756,-0.0023313084879331702,0.43902439024390244
LLY,41,0.0017553960534909486,-0.0030012496112017395,0.4878048780487805
AVGO,41,-0.001715807932668353,-0.0045045045045044585,0.43902439024390244
TSLA,40,-0.006556225647310854,-0.012356092223803516,0.4
NVDA,36,-0.0010242970261348577,-0.0182526730742118,0.4722222222222222
