signals,symbols,forward_5d_mean,forward_5d_median,positive_rate,mfe_5d_mean,mae_5d_mean,filter,conditions,holdout_symbols,raw_signals,raw_5d_mean,raw_5d_median,raw_positive_rate,mean_lift_vs_raw,median_lift_vs_raw,positive_rate_lift_vs_raw
41,9,0.004392181293228879,-0.0009172690627865,0.4878048780487805,0.02702121320435116,-0.023107004401549516,BULL_DIV_RSI_VOLUME,BULL_RSI_DIV + REL_VOLUME_GE_1,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,0.0038961466224433725,-0.00242881745807,-0.03548704741705799
20,7,-0.027051822283862048,-0.01205759528145545,0.45,0.0470052411349671,-0.06633019652042736,BREAKOUT20_VOLUME_ATR,BREAKOUT_20 + REL_VOLUME_GE_1_5 + BREAKOUT20_ATR_GE_025,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.027547856954647554,-0.01356914367673895,-0.07329192546583846
15,7,0.028865961940692093,0.015791119449656,0.6,0.05133061664822595,-0.026622815794201758,EMA38_MACD_VOLUME,EMA38_CROSSOVER + MACD_HIST_GT_0 + REL_VOLUME_GE_1,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,0.028369927269906586,0.0142795710543725,0.07670807453416151
15,6,-0.059186714314754335,-0.0203260304325216,0.26666666666666666,0.040756717381066905,-0.09109673003346869,BREAKOUT20_TREND_VOLUME,BREAKOUT_20 + TREND_50200_BULL + REL_VOLUME_GE_1_5,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.05968274898553984,-0.0218375788278051,-0.2566252587991718
38,8,0.016688668777336876,0.011676059306938,0.5789473684210527,0.04416994850430487,-0.028148516820804163,EMA38_MACD,EMA38_CROSSOVER + MACD_HIST_GT_0,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,0.01619263410655137,0.0101645109116545,0.055655442955214185
22,7,-0.03532574220947412,-0.01743514945777305,0.4090909090909091,0.04443540719042042,-0.07208285349409381,BREAKOUT20_VOL15,BREAKOUT_20 + REL_VOLUME_GE_1_5,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.03582177688025963,-0.018946697853056547,-0.11420101637492935
267,9,-0.00042479161451044865,0.0015611955251295,0.5168539325842697,0.03198477690214485,-0.033897803486261556,REL_VOLUME_GE_1,REL_VOLUME_GE_1,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.0009208262852959551,4.964712984599994e-05,-0.006437992881568766
93,9,0.001692543612656028,-0.0023748776456619,0.4838709677419355,0.034161212991989084,-0.03228621150675658,EMA38_CROSSOVER,EMA38_CROSSOVER,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,0.0011965089418705217,-0.0038864260409454,-0.03942095772390297
77,9,-0.007474096253722868,-0.0056588168719801,0.42857142857142855,0.026460875288372696,-0.03586779822077825,EMA38_REGIME,EMA38_CROSSOVER + TREND_50200_BULL,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.007970130924508375,-0.0071703652672636,-0.09472049689440992
125,9,0.0013167688346040127,0.0004228386568496,0.512,0.02826111758200996,-0.02829271573428554,BULL_RSI_DIVERGENCE,BULL_RSI_DIV,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,0.0008207341638185063,-0.0010887097384339002,-0.01129192546583846
56,9,-0.013534471813222955,-0.0068792262619357,0.42857142857142855,0.03510529940699617,-0.045401821833959244,REL_VOLUME_GE_1_5,REL_VOLUME_GE_1_5,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.014030506484008462,-0.0083907746572192,-0.09472049689440992
226,9,-0.002109946938923235,-0.00311666569563255,0.45132743362831856,0.028959981182122424,-0.031638545935461254,BULL_MACD_DIVERGENCE,BULL_MACD_DIV,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.0026059816097087412,-0.00462821409091605,-0.0719644918375199
51,9,-0.0038498096023226315,-0.0023916662426123,0.47058823529411764,0.028462075682933376,-0.029599246834586913,EMA38_TREND,EMA38_CROSSOVER + TREND_2150_BULL,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.004345844273108138,-0.0039032146378958,-0.05270369017172083
