signals,symbols,forward_5d_mean,forward_5d_median,positive_rate,mfe_5d_mean,mae_5d_mean,filter,conditions,regime,raw_signals,raw_5d_mean,raw_5d_median,raw_positive_rate,mean_lift_vs_raw,median_lift_vs_raw,positive_rate_lift_vs_raw
13,6,0.0032833825472607537,-0.0053330355766112,0.38461538461538464,0.038688580174944434,-0.03710130772083475,BULL_DIV_RSI_VOLUME,BULL_RSI_DIV + REL_VOLUME_GE_1,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.012065778879295773,-0.010503453327339499,-0.19757639620653317
13,6,0.003918165139605088,0.0069478559898938,0.6923076923076923,0.04078440616930768,-0.03493240480461345,BREAKOUT20_VOLUME_ATR,BREAKOUT_20 + REL_VOLUME_GE_1_5 + BREAKOUT20_ATR_GE_025,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.011430996286951437,0.0017774382391655,0.11011591148577449
4,3,0.023496375908989824,0.02339883907385615,0.75,0.05456319024968287,-0.027783247966732875,EMA38_MACD_VOLUME,EMA38_CROSSOVER + MACD_HIST_GT_0 + REL_VOLUME_GE_1,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,0.008147214482433298,0.018228421323127852,0.1678082191780822
0,0,,,,,,BREAKOUT20_TREND_VOLUME,BREAKOUT_20 + TREND_50200_BULL + REL_VOLUME_GE_1_5,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,,,
13,7,0.03350215441145234,0.0398498221578185,0.7692307692307693,0.0583487293698217,-0.023488525997171026,EMA38_MACD,EMA38_CROSSOVER + MACD_HIST_GT_0,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,0.01815299298489581,0.0346794044070902,0.18703898840885147
14,6,0.004052047230030925,0.0063701851977303,0.7142857142857143,0.04064525917272804,-0.03363846314441128,BREAKOUT20_VOL15,BREAKOUT_20 + REL_VOLUME_GE_1_5,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.011297114196525602,0.0011997674470019997,0.1320939334637965
63,8,0.013077155495138309,0.0050432276657061,0.5555555555555556,0.04447926501955584,-0.030693203334057496,REL_VOLUME_GE_1,REL_VOLUME_GE_1,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.0022720059314182174,-0.00012719008502220033,-0.026636225266362223
22,7,0.023882762128365095,0.01326177692753865,0.6363636363636364,0.05357979865588627,-0.023161037310381823,EMA38_CROSSOVER,EMA38_CROSSOVER,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,0.008533600701808568,0.00809135917681035,0.05417185554171855
0,0,,,,,,EMA38_REGIME,EMA38_CROSSOVER + TREND_50200_BULL,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,,,
39,7,0.0037547684436425467,0.000642689407984,0.5128205128205128,0.03569441840059165,-0.03139619505846636,BULL_RSI_DIVERGENCE,BULL_RSI_DIV,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.01159439298291398,-0.0045277283427443,-0.06937126800140503
