exit_type,exit_time,return,mfe,mae,stop_hit,target_hit,ambiguous,holding_days,symbol,signal_time,entry_time,entry_price,policy,survivor
TIME_1D,2024-11-07 05:00:00+00:00,-0.005108840515326563,0.004553531763660468,-0.011328298533984982,False,False,False,1,BAC,2024-11-06 05:00:00+00:00,2024-11-07 05:00:00+00:00,45.02,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-03-25 04:00:00+00:00,0.0036011935384299143,0.010597798127379265,-0.008334190760366345,False,False,False,1,BAC,2026-03-24 04:00:00+00:00,2026-03-25 04:00:00+00:00,48.595,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-04-01 04:00:00+00:00,-0.012625250501001939,0.0016032064128255197,-0.022444889779559052,False,False,False,1,BAC,2026-03-31 04:00:00+00:00,2026-04-01 04:00:00+00:00,49.9,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-06-01 04:00:00+00:00,0.004094365373367159,0.010430883213102149,-0.008188730746734318,False,False,False,1,BAC,2026-05-29 04:00:00+00:00,2026-06-01 04:00:00+00:00,51.29,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-07-01 04:00:00+00:00,-0.018362445740539024,0.0,-0.02898312922328783,False,False,False,1,CAT,2024-06-28 04:00:00+00:00,2024-07-01 04:00:00+00:00,335.195,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-11-07 05:00:00+00:00,-0.020297504798464594,0.0037308061420344707,-0.021701055662188162,False,False,False,1,CAT,2024-11-06 05:00:00+00:00,2024-11-07 05:00:00+00:00,416.8,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-01-15 05:00:00+00:00,-0.01174624937379698,0.0007646267830305753,-0.012853639887151602,False,False,False,1,CAT,2025-01-14 05:00:00+00:00,2025-01-15 05:00:00+00:00,379.27,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-03-10 04:00:00+00:00,-0.005902507846016536,0.01458351328784091,-0.015288934957242817,False,False,False,1,CAT,2025-03-07 05:00:00+00:00,2025-03-10 04:00:00+00:00,347.31,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-04-02 04:00:00+00:00,0.01561548807248525,0.03914489983719127,0.0,False,False,False,1,CAT,2026-04-01 04:00:00+00:00,2026-04-02 04:00:00+00:00,706.35,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-08-13 04:00:00+00:00,-0.0029391868249784014,0.007423779421026788,-0.00985560661550311,False,False,False,1,CAT,2026-08-12 04:00:00+00:00,2026-08-13 04:00:00+00:00,857.38,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-01-21 05:00:00+00:00,0.002268484979879748,0.010432915769936324,-0.001501747632367989,False,False,False,1,COST,2025-01-17 05:00:00+00:00,2025-01-21 05:00:00+00:00,945.565,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-04-10 04:00:00+00:00,-0.003925254883327067,0.02605129688355423,-0.02306603724860301,False,False,False,1,COST,2025-04-09 04:00:00+00:00,2025-04-10 04:00:00+00:00,968.09,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-08-04 04:00:00+00:00,0.0027079222469457154,0.0055942734791554205,-0.004019900079768268,False,False,False,1,COST,2025-08-01 04:00:00+00:00,2025-08-04 04:00:00+00:00,952.76,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-10-10 04:00:00+00:00,-0.01564533708638005,0.0,-0.016454852329604974,False,False,False,1,COST,2025-10-09 04:00:00+00:00,2025-10-10 04:00:00+00:00,945.01,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-11-05 05:00:00+00:00,-0.005048489974837311,0.0054634343563308985,-0.013001590620129067,False,False,False,1,COST,2025-11-04 05:00:00+00:00,2025-11-05 05:00:00+00:00,939.885,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-01-06 05:00:00+00:00,0.018449592872112452,0.02382070339788589,-0.0013399145661311396,False,False,False,1,COST,2026-01-05 05:00:00+00:00,2026-01-06 05:00:00+00:00,873.19,TIME_1D,EMA38_MACD_VOLUME
