filter,conditions,signals,symbols,forward_1d_mean,forward_3d_mean,forward_5d_mean,forward_5d_median,forward_10d_mean,forward_10d_median,mfe_5d_mean,mae_5d_mean,positive_rate,strong_positive_rate,selection_score,eligible
BULL_DIV_RSI_VOLUME,BULL_RSI_DIV + REL_VOLUME_GE_1,297,27,0.0036217570992418333,0.007822105934596169,0.01266601742586023,0.012535137608681302,0.031670204731851545,0.022843464321303353,0.04145944995563043,-0.032720197549534785,0.6397306397306397,0.16498316498316498,0.1367534442264996,True
BREAKOUT20_VOLUME_ATR,BREAKOUT_20 + REL_VOLUME_GE_1_5 + BREAKOUT20_ATR_GE_025,252,27,-0.0008735304573758006,0.004211834165687154,0.0046645789664393434,0.006940070580757185,0.006178484203191226,0.007177197462830298,0.0333919489514381,-0.027529172556485754,0.6150793650793651,0.0992063492063492,0.1273050495188236,True
EMA38_MACD_VOLUME,EMA38_CROSSOVER + MACD_HIST_GT_0 + REL_VOLUME_GE_1,110,27,0.0015155689715565528,0.004096304392685486,0.005111025049200547,0.006715259084616787,0.016601537816212663,0.018415993763887806,0.03147985545241028,-0.0260735983578133,0.6,0.07272727272727272,0.1242996228503777,True
BREAKOUT20_TREND_VOLUME,BREAKOUT_20 + TREND_50200_BULL + REL_VOLUME_GE_1_5,255,27,-0.0019149671927245957,0.0020811970641795726,0.002719074680257444,0.005677660001416562,0.006472725192880249,0.00568588469184883,0.030642889761179865,-0.027797543196700757,0.6,0.09411764705882353,0.12323471567070182,True
EMA38_MACD,EMA38_CROSSOVER + MACD_HIST_GT_0,281,27,0.0012147066102993036,0.0037261041415845,0.005713648134864203,0.007361963190184007,0.014089962846052155,0.014652677279305415,0.030031340360453986,-0.025639622518585658,0.5907473309608541,0.07829181494661921,0.12289076166146967,True
BREAKOUT20_VOL15,BREAKOUT_20 + REL_VOLUME_GE_1_5,305,27,-0.000901540639445277,0.00243148768083572,0.003499908530322215,0.005677660001416562,0.006712688128996448,0.009401439012321822,0.03140991930389839,-0.027477778732940387,0.5934426229508196,0.09508196721311475,0.12211844872338194,True
REL_VOLUME_GE_1,REL_VOLUME_GE_1,2219,27,0.00077878486540593,0.0035748020754778126,0.00609489934918972,0.006610911987256163,0.01415900183541044,0.012776581786683172,0.03217487533368716,-0.02714460625387164,0.5863001351960343,0.09779179810725552,0.12175866227076956,True
EMA38_CROSSOVER,EMA38_CROSSOVER,798,27,0.0008854401805958193,0.0026022040321764155,0.004845427965458128,0.006542440097832669,0.01191390257467971,0.01277902698657829,0.027925765952525536,-0.024015950013983163,0.5877192982456141,0.07268170426065163,0.12169931468451206,True
EMA38_REGIME,EMA38_CROSSOVER + TREND_50200_BULL,584,27,0.0003449454434259349,0.0018291676076354372,0.004846725514881928,0.005791918819975317,0.01085027928685141,0.012262725785671669,0.02708458069751522,-0.023350441705436303,0.5856164383561644,0.08047945205479452,0.12094133251894226,True
BULL_RSI_DIVERGENCE,BULL_RSI_DIV,730,27,0.0018192177715114556,0.003567066283484457,0.006861709881203781,0.00731138763155792,0.016363176914953766,0.011914192416354608,0.03492516573674526,-0.0324604910316882,0.5794520547945206,0.13150684931506848,0.12089596286340612,True
REL_VOLUME_GE_1_5,REL_VOLUME_GE_1_5,714,27,0.00026876596269745514,0.004877644735744234,0.00739091022312773,0.006138842824395363,0.01814264120862915,0.017326318319214162,0.037431454516327616,-0.03141222784059326,0.5812324929971989,0.12745098039215685,0.12085670542619964,True
BULL_MACD_DIVERGENCE,BULL_MACD_DIV,1080,27,0.0013758324049363282,0.0044064852508244046,0.008963301453154751,0.006997891039427162,0.016231005230819846,0.010047459067993647,0.037534457255911875,-0.03142926120114227,0.5694444444444444,0.14351851851851852,0.1192787652199198,True
EMA38_TREND,EMA38_CROSSOVER + TREND_2150_BULL,502,27,0.0002126834731575938,0.0012547986958867951,0.004111012750715109,0.0057834375363111645,0.011653498471629843,0.01148693883381302,0.025992463963997695,-0.022949609269549386,0.5776892430278885,0.06772908366533864,0.1191681486845965,True
OBV_BULL_DIVERGENCE,OBV_BULL_DIV,2494,27,0.0004285630224924586,0.0018476848968958042,0.004389051858074114,0.006123060096985267,0.01160180264061863,0.012253300082025187,0.02851321029532132,-0.025779294531917327,0.5737770649558942,0.08540497193263834,0.11860805299934074,True
BREAKOUT20_ATR25,BREAKOUT_20 + BREAKOUT20_ATR_GE_025,883,27,-3.868556014831736e-05,0.001961570522013305,0.0026559168405640163,0.0053473809760460345,0.005910713712515143,0.005596540320529142,0.028292700915198546,-0.02508350641844188,0.5764439411098528,0.07361268403171008,0.11835908887133227,True
TREND_2150_BULL,TREND_2150_BULL,3143,27,1.197158520357251e-05,0.0018121670028979071,0.003934587195534334,0.005445103857566691,0.009436335359953888,0.008334705301284107,0.026671891077998493,-0.0238312221654178,0.5742920776328349,0.07095132039452752,0.11829235906135557,True
RSI_GT_50,RSI_GT_50,3366,27,0.0002639851920130391,0.002009131827812753,0.004206609357550293,0.005377076298733852,0.009439303391253932,0.008866030531523572,0.027362125191025363,-0.024146198872708486,0.5739750445632799,0.07338086749851455,0.11826634558647378,True
EMA38_TREND_VOLUME,EMA38_CROSSOVER + TREND_2150_BULL + REL_VOLUME_GE_1,221,27,0.0005090957137268812,0.001289593895234664,0.005018586965340186,0.006584020404531765,0.012045498874909914,0.013420376225462327,0.02765827315850185,-0.023115670044827598,0.5701357466063348,0.08144796380090498,0.11824460524464131,True
RSI_GT_55,RSI_GT_55,2440,27,-8.4707895171841e-05,0.0013758955326903834,0.003247696765011932,0.005023937384455834,0.007763719171419852,0.0078362715251441,0.02636536699241923,-0.023936916732455255,0.5713114754098361,0.06762295081967214,0.11733499109622533,True
TREND_STACK,TREND_STACK,2310,27,-0.00030502169593210203,0.001037080704135637,0.0029135590927202083,0.004898088599034511,0.007240569106564145,0.006854729414261795,0.02559114232171268,-0.023891965465912414,0.5658008658008657,0.06363636363636363,0.11609270280291874,True
MACD_HIST_GT_0,MACD_HIST_GT_0,3221,27,0.0005837544231907944,0.0022096716419720366,0.003902159465064058,0.0050345133303781875,0.008697071165904484,0.008534432018834748,0.02942688869589699,-0.026557495482524347,0.5631791369140019,0.08661906240298044,0.11587689824773659,True
TREND_50200_BULL,TREND_50200_BULL,3760,27,0.00019907039302688833,0.0015250749081993436,0.003285605599355734,0.004854789728862663,0.008442809480944,0.0077059914775392535,0.02792481268104409,-0.02596968980201681,0.5587765957446809,0.08164893617021277,0.1147613759267633,True
BREAKOUT_20,BREAKOUT_20,1367,27,2.9431858744964136e-05,0.0012832628470366787,0.0016762400199796547,0.004254672542166826,0.004569300400289761,0.005574296035790294,0.026574580413848043,-0.024848689257421567,0.5610826627651793,0.06656912948061448,0.11455019520200585,True
BREAKOUT20_TREND,BREAKOUT_20 + TREND_50200_BULL,1088,27,-0.0004225530557051394,0.0004448275778005023,0.0006330266387567487,0.004515335201021653,0.0022371684420663357,0.0033570793696524603,0.02588461701287617,-0.025124461957931915,0.5588235294117647,0.06709558823529412,0.11395486338250188,True
BULL_DIV_RSI_TREND,BULL_RSI_DIV + TREND_50200_BULL,420,27,0.0003750010325460531,0.0014084843268764944,0.003050053502482339,0.005084139347697136,0.007267435862181686,0.0072369691951919,0.03041386189607194,-0.03107403661831501,0.5476190476190477,0.09761904761904762,0.11257418560589384,True
BREAKOUT_50,BREAKOUT_50,985,27,-0.00016206177877526839,-0.00017647167237400097,0.0005199884155492603,0.0035160620105483265,0.0017691969240736579,0.004290004290004257,0.02524388429415226,-0.025252866359706715,0.550253807106599,0.05786802030456853,0.11176298642995386,True
