symbol,decision_timestamp,signal_close,ema_3,ema_8,ema_21,ema_50,ema_200,rsi_14,macd_hist,rel_volume,atr_pct,bb_width,breakout_20,breakout_50,breakout_20_atr,bullish_crossover,trend_stack,golden_regime,bull_rsi_div,bear_rsi_div,bull_macd_div,bear_macd_div,obv_bull_div,regime,entry_timestamp,entry_open,forward_1d,forward_3d,forward_5d,forward_10d,mfe_5d,mae_5d
AAPL,2024-01-09T05:00:00+00:00,185.07,184.4859375,184.36346932208843,184.8462270957647,185.20191104122983,185.45477362558066,,-0.11607082648929645,,,,False,False,,True,False,False,False,False,False,False,False,BEAR_LOW_VOL,2024-01-10T05:00:00+00:00,184.33,0.009765095209678165,0.008137579341398471,-0.009168339391309233,0.05552541637280961,0.014566267021103307,-0.021808712634948213
AAPL,2024-01-18T05:00:00+00:00,188.7,186.1624365234375,185.29066037862037,185.10667721617529,185.2494362811607,185.45264223590044,,0.20110498964912582,1.3774150679713442,,,False,False,,True,False,False,False,False,False,False,False,BEAR_LOW_VOL,2024-01-19T05:00:00+00:00,189.35,0.01161869553736472,0.030525481911803487,0.025561130182202296,-0.013044626353313937,0.03707420121468186,-0.0026670187483496255
AAPL,2024-02-07T05:00:00+00:00,189.37,188.77396316140891,188.58605215755233,188.34431350204943,187.27451282709006,186.07983889279546,46.8669436345721,-0.3263740003314972,0.6948741336514588,1.771098152520765,0.08171474189302676,False,False,-2.087104674688531,True,True,True,False,False,False,False,False,BEAR_LOW_VOL,2024-02-08T05:00:00+00:00,189.5,-0.005910290237467031,-0.012137203166227017,-0.028918205804749242,-0.027229551451187328,0.0025857519788918815,-0.03725593667546179
AAPL,2024-02-13T05:00:00+00:00,185.085,186.51899769758808,187.5803979927272,187.9927443494634,187.2807816796754,186.13005741677105,38.487152789375344,-0.4953993342905598,0.8542672825943719,1.7700361609916684,0.07532275494054531,False,False,-3.4446745884661487,False,False,True,False,False,False,False,True,BEAR_LOW_VOL,2024-02-14T05:00:00+00:00,185.29,-0.0068541205677585815,-0.01613686653354196,-0.016028927626963174,-0.020724270063144257,0.0009174807059204593,-0.02849587133682341
AAPL,2024-02-14T05:00:00+00:00,184.02,185.26949884879406,186.78919843878782,187.63158577223945,187.1529078883156,186.1090618205843,36.60176375131066,-0.6459323037081214,0.905243228324124,1.776204449826883,0.07267053692518469,False,False,-3.7784090909090877,False,False,True,False,False,False,False,True,BEAR_LOW_VOL,2024-02-15T05:00:00+00:00,183.66,0.001088968746597141,-0.010998584340629503,0.0037024937384297907,-0.015953392137645683,0.007023848415550482,-0.01987367962539477
AAPL,2024-03-18T04:00:00+00:00,173.68,173.09915499913666,173.0509813317939,176.2123332032977,180.55478486705746,184.24935604785009,39.470731166253444,0.11620353197864475,0.9165820491042069,2.043783312495887,0.12115496153777205,False,False,-3.1932790019116557,True,False,False,False,False,False,False,False,BEAR_LOW_VOL,2024-03-19T04:00:00+00:00,174.34,0.010095216244120575,-0.016978318228748512,-0.019788918205804862,-0.031031318114030038,0.02449237122863379,-0.02804864058735812
AAPL,2024-03-19T04:00:00+00:00,176.1,174.59957749956834,173.7285410358397,176.20212109390698,180.3800874212905,184.168267927971,46.033772917603436,0.43556397389279766,0.8384288714426948,2.045509856412752,0.11802035200644799,False,False,-2.4749157247670026,False,False,False,False,False,False,False,True,BEAR_LOW_VOL,2024-03-20T04:00:00+00:00,175.64,0.0169095877932135,-0.019186973354588743,-0.03273741744477343,-0.033591437030289106,0.0169095877932135,-0.035242541562286456
AAPL,2024-03-20T04:00:00+00:00,178.61,176.60478874978418,174.813309694542,176.4210191762791,180.31067222829873,184.112961779434,51.86360852555633,0.804252673970757,0.7134796309850205,2.0371599734457355,0.11425956866432764,False,False,-1.7603062426383906,False,False,False,False,False,False,False,True,BEAR_LOW_VOL,2024-03-21T04:00:00+00:00,177.055,-0.03205218717347724,-0.03481968879726649,-0.02089746124085745,-0.04628505266725025,0.002372144248962149,-0.0429527547937083
AAPL,2024-03-21T04:00:00+00:00,171.38,173.9923943748921,174.05035198464378,175.96274470570827,179.9604497879733,183.98626564232518,38.84603120531885,0.5611149996197176,1.6018528604094715,2.3069036226930972,0.10737552110881894,False,False,-3.4487804878048745,False,False,False,False,False,False,False,True,BEAR_LOW_VOL,2024-03-22T04:00:00+00:00,171.76,0.002969259431765403,-0.010887284583139256,-0.0014555193292966617,-0.012109920819748377,0.010712622263623572,-0.013448998602701434
AAPL,2024-03-22T04:00:00+00:00,172.27,173.13119718744605,173.6547182102785,175.62704064155298,179.65886352177824,183.8696858846901,40.815336334750235,0.4641626210919636,0.9101224184176971,2.1759862010631172,0.101241224024565,False,False,-3.399961890243893,False,False,False,False,False,False,False,True,BEAR_LOW_VOL,2024-03-25T04:00:00+00:00,170.47,0.002463776617586566,0.016923798908898835,-0.0029330674018889225,-0.011321640171291225,0.01836100193582446,-0.005983457499853406
AAPL,2024-03-25T04:00:00+00:00,170.89,172.01059859372302,173.04033638577218,175.19640058322997,179.31498652092418,183.74053478135988,38.7325795884465,0.3179947404250969,0.7534756888507126,2.083629402372456,0.09704342475577496,False,False,-3.6523570712136437,False,False,False,False,False,False,False,True,BEAR_LOW_VOL,2024-03-26T04:00:00+00:00,170.05,-0.0009408997353721471,0.008585710085268872,-0.0065862981476036975,-0.0020582181711262804,0.020876212878565115,-0.010467509556012944
AAPL,2024-03-27T04:00:00+00:00,173.355,172.15264964843072,172.56575904818317,174.59045502746278,178.7261486492653,183.50075116647199,45.095428213752925,0.31875260038618114,0.9262499969183755,2.085934313155913,0.07750336695484641,False,False,-2.6589629629629625,False,False,False,False,False,False,False,True,BEAR_LOW_VOL,2024-03-28T04:00:00+00:00,171.87,-0.0020946063885495247,-0.017105952173154138,-0.01751323674870542,0.018444172921393998,0.0020364228777565163,-0.020946063885494803
AAPL,2024-04-02T04:00:00+00:00,168.93,169.91533120605385,171.16723642459098,173.46257327382625,177.7508469776889,183.10552545085616,38.118801690270935,0.08491777844461224,0.8173544006192264,1.9490321434913855,0.056352584517939744,False,False,-2.9400151860288575,False,False,False,True,False,True,False,False,BEAR_LOW_VOL,2024-04-03T04:00:00+00:00,168.735,0.005956084985331955,0.005600497822028538,0.005719026876462863,0.0035855038966425834,0.018786855127863156,-0.0027558005156014254
