symbol,timestamp,open,high,low,close,volume,amount,ema_3,ema_8,macd,macd_signal,macd_hist,rel_volume,atr_14,bullish_crossover,signal
BTC_USDT,2026-07-27 15:00:00+00:00,64662.4,64750.9,64380.0,64517.1,48316522.0,312085671.29067,64517.1,64517.1,0.0,0.0,0.0,,,False,False
BTC_USDT,2026-07-27 16:00:00+00:00,64517.1,64941.7,64479.8,64871.0,46538658.0,301246212.12853,64694.05,64595.74444444444,28.231339031335665,5.646267806267133,22.585071225068532,,,True,False
BTC_USDT,2026-07-27 17:00:00+00:00,64871.0,65068.9,64761.7,64994.2,30450797.0,197767043.92872,64844.125,64684.29012345678,59.856105064071016,16.48823525782791,43.36786980624311,,,False,False
BTC_USDT,2026-07-27 18:00:00+00:00,64994.2,65034.9,64729.0,64854.7,27432209.0,177914997.18306,64849.4125,64722.15898491083,72.8230174251803,27.755191691298386,45.06782573388191,,,False,False
BTC_USDT,2026-07-27 19:00:00+00:00,64854.7,65055.2,64782.0,64959.3,28485733.0,184997518.89922,64904.35625,64774.85698826398,90.49654685425048,40.303462723888806,50.193084130361676,,,False,False
BTC_USDT,2026-07-27 20:00:00+00:00,64959.3,65030.9,64877.1,64940.4,20389840.0,132428316.26815,64922.378125,64811.644324205314,101.80433718353015,52.60363761581708,49.20069956771307,,,False,False
BTC_USDT,2026-07-27 21:00:00+00:00,64940.4,64940.4,64762.1,64790.4,16026623.0,103909976.90719,64856.389062500006,64806.923363270806,97.53774171861005,61.59045843637567,35.94728328223438,,,False,False
BTC_USDT,2026-07-27 22:00:00+00:00,64790.4,64790.4,63755.4,63756.0,47469720.0,305039090.99798,64306.19453125,64573.38483809952,10.567186961561674,51.385804141412876,-40.8186171798512,,,False,False
BTC_USDT,2026-07-27 23:00:00+00:00,63756.0,63903.4,63567.4,63723.7,50651954.0,322825999.36223,64014.947265625,64384.565985188514,-60.26919852571882,29.054803607986535,-89.32400213370536,,,False,False
BTC_USDT,2026-07-28 00:00:00+00:00,63723.7,63794.3,63442.7,63453.1,44204312.0,281152731.09805,63734.0236328125,64177.573544035506,-136.66728745704313,-4.0896146050193956,-132.57767285202374,,,False,False
BTC_USDT,2026-07-28 01:00:00+00:00,63453.1,63500.0,63023.0,63195.8,46574828.0,294519315.90202,63464.91181640625,63959.40164536095,-215.49123419860553,-46.36993852373662,-169.12129567486892,,,False,False
BTC_USDT,2026-07-28 02:00:00+00:00,63195.8,63269.8,63069.9,63148.1,21275088.0,134396265.49979,63306.50590820312,63779.1123908363,-278.59727527306677,-92.81540587360266,-185.7818693994641,,,False,False
BTC_USDT,2026-07-28 03:00:00+00:00,63148.1,63342.8,63131.9,63310.0,18516656.0,117132127.54907,63308.25295410156,63674.86519287268,-311.94933280692203,-136.64219126026654,-175.3071415466555,,,False,False
BTC_USDT,2026-07-28 04:00:00+00:00,63310.0,63333.0,63189.6,63323.5,14651779.0,92706234.7844,63315.876477050784,63596.78403890098,-333.44796098522056,-176.00334520525735,-157.44461577996321,,343.21428571428675,False,False
BTC_USDT,2026-07-28 05:00:00+00:00,63323.5,63587.5,63295.3,63417.5,20673920.0,131195425.21749,63366.68823852539,63556.94314136743,-338.9930632789328,-208.60128881999245,-130.39177445894038,,337.5928571428579,False,False
BTC_USDT,2026-07-28 06:00:00+00:00,63417.5,63640.1,63366.5,63609.4,20087898.0,127554854.69573,63488.0441192627,63568.60022106356,-324.16608572239784,-231.71424820047355,-92.45183752192429,,324.1428571428582,False,False
BTC_USDT,2026-07-28 07:00:00+00:00,63609.4,63633.1,63424.2,63476.8,18745800.0,119068740.17977,63482.42205963135,63548.200171938326,-319.433085235396,-249.25801560745805,-70.17506962793794,,317.1214285714294,False,False
BTC_USDT,2026-07-28 08:00:00+00:00,63476.8,63513.9,63370.1,63401.7,21744568.0,137945083.56649,63442.061029815675,63515.64457817425,-318.07551408192376,-263.0215153023512,-55.05399877957257,,305.54285714285805,False,False
BTC_USDT,2026-07-28 09:00:00+00:00,63401.7,63557.4,63337.3,63367.8,26847596.0,170310455.47925,63404.93051490784,63482.79022746887,-316.0913712798356,-273.6354864978481,-42.45588478198749,,301.750000000001,False,False
BTC_USDT,2026-07-28 10:00:00+00:00,63367.8,63532.1,63266.3,63442.5,31763693.0,201332530.59943,63423.71525745392,63473.83684358689,-304.9756882151851,-279.9035268413155,-25.072161373869562,,309.7500000000005,False,False
BTC_USDT,2026-07-28 11:00:00+00:00,63442.5,63569.0,63324.0,63430.8,29239007.0,185482984.19567,63427.25762872696,63464.27310056759,-293.7246466321667,-282.66775079948576,-11.056895832680937,0.9732577144103058,314.514285714286,False,False
BTC_USDT,2026-07-28 12:00:00+00:00,63430.8,63546.0,63358.0,63521.2,22731088.0,144231583.87984,63474.22881436348,63476.92352266368,-274.35104258129286,-281.00440915584716,6.653366574554298,0.7814449514393627,254.01428571428602,False,False
BTC_USDT,2026-07-28 13:00:00+00:00,63521.2,63565.7,62700.0,63078.8,76759131.0,484353728.27133,63276.51440718174,63388.45162873842,-291.3369534521844,-283.0709180151146,-8.266035437069775,2.751405236721484,291.8500000000001,False,False
BTC_USDT,2026-07-28 14:00:00+00:00,63078.8,63521.0,62937.1,63384.1,62054346.0,392326325.2018,63330.30720359087,63387.48460012989,-276.9705080837666,-281.85083602884504,4.88032794507842,2.0538566473345656,308.44285714285695,False,False
BTC_USDT,2026-07-28 15:00:00+00:00,63384.1,64007.3,63234.6,63899.4,77475830.0,493416056.56381,63614.85360179543,63501.243577878806,-221.4518342699448,-269.771035677065,48.319201407120204,2.4253125223139667,329.5642857142858,True,True
BTC_USDT,2026-07-28 16:00:00+00:00,63899.4,64081.4,63746.4,64020.0,40968546.0,261721796.26358,63817.426800897716,63616.52278279462,-165.81011735860375,-248.97885201337277,83.16873465476903,1.1911474968754054,339.2142857142857,False,False
BTC_USDT,2026-07-28 17:00:00+00:00,64020.0,64020.0,63478.8,63666.9,38080814.0,242566062.08632,63742.16340044886,63627.71771995137,-148.4941269880801,-228.88190700831424,80.38778002023415,1.0750271267401927,362.80714285714254,False,False
BTC_USDT,2026-07-28 18:00:00+00:00,63666.9,63818.0,63651.1,63710.8,22525786.0,143513517.46687,63726.48170022443,63646.18044885107,-129.73323280048498,-209.05217216674842,79.31893936626344,0.6167084170769273,364.485714285714,False,False
BTC_USDT,2026-07-28 19:00:00+00:00,63710.8,63882.4,63649.2,63882.4,22577386.0,143967381.59346,63804.440850112216,63698.673682439716,-99.86719623983663,-187.21517698136606,87.34798074152943,0.6399733980614668,360.27142857142877,False,False
BTC_USDT,2026-07-28 20:00:00+00:00,63882.4,63993.2,63850.4,63890.8,21530046.0,137601280.09317,63847.62042505611,63741.36841967534,-74.65970666963403,-164.70408291901964,90.0443762493856,0.6355751223451452,350.92857142857144,False,False
BTC_USDT,2026-07-28 21:00:00+00:00,63890.8,64048.0,63863.8,63951.7,18859326.0,120601446.83722,63899.660212528055,63788.1087708586,-49.201306503018714,-141.60352763581946,92.40222113280075,0.5760122288529015,349.1642857142854,False,False
BTC_USDT,2026-07-28 22:00:00+00:00,63951.7,64000.4,63744.5,63756.0,20346980.0,129988189.51442,63827.830106264024,63780.973488445576,-44.30596384823002,-122.14401487830159,77.83805103007157,0.6489143859271875,357.1714285714282,False,False
BTC_USDT,2026-07-28 23:00:00+00:00,63756.0,63932.7,63526.9,63903.6,29120946.0,185566422.35466,63865.71505313201,63808.223824346554,-28.19131118310179,-103.35347413926164,75.16216295615985,0.9301139252254473,370.4357142857137,False,False
BTC_USDT,2026-07-29 00:00:00+00:00,63903.6,64172.5,63846.0,63927.6,38812378.0,248443636.59882,63896.65752656601,63834.751863380654,-13.33007264281332,-85.34879383997199,72.01872119715867,1.2190114191946566,374.77142857142826,False,False
