universe_version,symbol,market,active,frozen_at
CRYPTO_C0_FROZEN,BTC_USDT,MEXC_USDT_PERPETUAL,True,2026-08-26T15:00:00+00:00
CRYPTO_C0_FROZEN,ETH_USDT,MEXC_USDT_PERPETUAL,True,2026-08-26T15:00:00+00:00
