timestamp_utc,experiment,universe_rule,symbol,rank,market_cap_usd,price_usd,volume_24h_usd,volume_market_cap,change_24h_pct,change_7d_pct,change_30d_pct,selected,reason,dry_run
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,HBAR,29,3460803203,0.078948,248632610,0.07184245835893605,5.5,19.4,8.0,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,USDG,30,3392763659,0.999871,587662315,0.1732105074401824,,,,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,SHIB,31,3354123359,5.69e-06,356042658,0.10615073445186307,14.6,24.2,35.1,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,AVAX,32,3320547572,7.69,664538542,0.20012920387095723,5.5,14.8,17.8,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,CRO,33,3061213128,0.063119,27366128,0.008939634992967403,15.3,29.8,8.5,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,USYC,34,2924943519,1.14,0,0.0,,0.2,0.5,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,PYUSD,35,2923987765,0.999865,286379789,0.09794151412942044,,,,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,XAUT,36,2802461050,4573.03,317334448,0.1132342046288208,1.2,4.9,11.2,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,M,37,2660941682,1.18,5093530,0.0019141832511607821,1.0,4.4,2.2,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,BUIDL,38,2605208255,1.0,0,0.0,,,,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,NEAR,39,2583111876,1.98,609279968,0.23587053029367125,8.3,19.7,5.3,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,UNI,40,2582920356,4.14,558308387,0.21615393045436976,7.8,25.3,8.4,True,TOP_200_MARKET_CAP,True
