variable,target,n,pearson_r,spearman_rho
bar_3_close_return_before_costs,net_return,55,0.5199834532489768,0.4836219336219337
bar_1_close_return_before_costs,net_return,55,0.5015179438497928,0.39148629148629155
bar_2_close_return_before_costs,net_return,55,0.4419467808839376,0.350865800865801
bar_3_mae,net_return,55,0.41155615207556134,0.3530303030303031
bar_3_mfe,net_return,55,0.3838203820162037,0.37186147186147195
bar_2_mfe,net_return,55,0.3716686319539867,0.30000000000000004
bar_1_mfe,net_return,55,0.36701745146600157,0.2692640692640694
bar_2_mae,net_return,55,0.3564578979375246,0.2567099567099568
bar_1_mae,net_return,55,0.16823049095370257,0.15461760461760463
