symbol,settle_time,funding_rate
BTC_USDT,2026-07-25 16:00:00+00:00,6e-06
BTC_USDT,2026-07-26 00:00:00+00:00,3.8e-05
BTC_USDT,2026-07-26 08:00:00+00:00,5.8e-05
BTC_USDT,2026-07-26 16:00:00+00:00,5.8e-05
BTC_USDT,2026-07-27 00:00:00+00:00,6.1e-05
BTC_USDT,2026-07-27 08:00:00+00:00,6.4e-05
BTC_USDT,2026-07-27 16:00:00+00:00,5.2e-05
BTC_USDT,2026-07-28 00:00:00+00:00,4.2e-05
BTC_USDT,2026-07-28 08:00:00+00:00,1e-06
BTC_USDT,2026-07-28 16:00:00+00:00,6.6e-05
BTC_USDT,2026-07-29 00:00:00+00:00,0.0001
BTC_USDT,2026-07-29 08:00:00+00:00,0.0001
BTC_USDT,2026-07-29 16:00:00+00:00,3.5e-05
BTC_USDT,2026-07-30 00:00:00+00:00,8.4e-05
BTC_USDT,2026-07-30 08:00:00+00:00,7.2e-05
BTC_USDT,2026-07-30 16:00:00+00:00,9.1e-05
BTC_USDT,2026-07-31 00:00:00+00:00,0.0001
BTC_USDT,2026-07-31 08:00:00+00:00,9.5e-05
BTC_USDT,2026-07-31 16:00:00+00:00,5.6e-05
BTC_USDT,2026-08-01 00:00:00+00:00,4.1e-05
BTC_USDT,2026-08-01 08:00:00+00:00,3.2e-05
BTC_USDT,2026-08-01 16:00:00+00:00,3.5e-05
BTC_USDT,2026-08-02 00:00:00+00:00,4.5e-05
BTC_USDT,2026-08-02 08:00:00+00:00,9e-05
BTC_USDT,2026-08-02 16:00:00+00:00,7.7e-05
BTC_USDT,2026-08-03 00:00:00+00:00,0.0001
BTC_USDT,2026-08-03 08:00:00+00:00,6.4e-05
BTC_USDT,2026-08-03 16:00:00+00:00,2.5e-05
BTC_USDT,2026-08-04 00:00:00+00:00,2.9e-05
BTC_USDT,2026-08-04 08:00:00+00:00,6.1e-05
BTC_USDT,2026-08-04 16:00:00+00:00,7.7e-05
BTC_USDT,2026-08-05 00:00:00+00:00,1.6e-05
BTC_USDT,2026-08-05 08:00:00+00:00,9e-06
BTC_USDT,2026-08-05 16:00:00+00:00,2.7e-05
BTC_USDT,2026-08-06 00:00:00+00:00,6.5e-05
BTC_USDT,2026-08-06 08:00:00+00:00,2.6e-05
BTC_USDT,2026-08-06 16:00:00+00:00,5.8e-05
BTC_USDT,2026-08-07 00:00:00+00:00,8e-06
BTC_USDT,2026-08-07 08:00:00+00:00,4.6e-05
BTC_USDT,2026-08-07 16:00:00+00:00,6.3e-05
BTC_USDT,2026-08-08 00:00:00+00:00,5.5e-05
