signals,symbols,gross_mean,gross_median,net_mean,net_median,net_positive_rate,net_profit_factor,net_max_drawdown,mfe_mean,mfe_median,mae_mean,mae_median,mfe_mae_ratio,stop_hit_rate,target_hit_rate,ambiguous_rate,research_horizon_exit_rate,p10_net,p25_net,p75_net,p90_net,policy,sector
12,2,0.018083848174379108,0.01917047137292338,0.017883848174379106,0.018970471372923382,0.5833333333333334,2.821676323526486,-0.08738345278526471,0.05056456852175528,0.05936644169693439,-0.027443276482205108,-0.029182701669169975,1.8425120832252877,0.0,0.0,0.0,0.0,-0.02730409344674761,-0.00960769707462255,0.049968379516826734,0.06949353534265579,A_10D_TIME,Consumer
13,1,-0.00016328820740581123,0.004182851067896287,-0.00036328820740581016,0.0039828510678962875,0.6153846153846154,0.9731515491622281,-0.11743287697536275,0.027577578701454036,0.036968541799068166,-0.02451083822507734,-0.011404541940891244,1.1251177315200538,0.0,0.0,0.0,0.0,-0.0387838002175513,-0.0318595360026688,0.028370470819833328,0.03197403189749346,A_10D_TIME,Defensive
15,1,0.024057292238901486,0.015807372222368166,0.023857292238901488,0.015607372222368165,0.6666666666666666,5.038734649314338,-0.07887524653925015,0.05010867562855027,0.044112024945439865,-0.024226643543262316,-0.013615668612530829,2.068329256550523,0.0,0.0,0.0,0.0,-0.0065572027127402946,-0.003382301915672314,0.05398737195134871,0.06843921526745242,A_10D_TIME,Energy
9,2,0.027285371337825208,0.0326900150458751,0.02708537133782521,0.0324900150458751,0.8888888888888888,17.229376648423887,0.0,0.04942810914532587,0.06325845823443976,-0.02697704109243695,-0.022425887161365177,1.8322287079580089,0.0,0.0,0.0,0.0,0.002811296808122356,0.008995946839349211,0.04777489312164727,0.05030982059440621,A_10D_TIME,Financials
20,2,-0.009835056086980282,-0.010980200267925844,-0.010035056086980283,-0.011180200267925844,0.4,0.5379638355477295,-0.2356251321938212,0.037473069856208394,0.02470999877429103,-0.04207668023390334,-0.041782881212528544,0.8905899811462412,0.0,0.0,0.0,0.0,-0.0570697822874394,-0.03759237826716801,0.016439592607811172,0.05122909967120706,A_10D_TIME,Healthcare
11,1,0.0173089743918898,0.012178377662200424,0.0171089743918898,0.011978377662200423,0.5454545454545454,2.967826517653712,-0.04822249534040157,0.044000826479989937,0.026245839782867098,-0.027564359700654892,-0.019061602580257575,1.596294162383338,0.0,0.0,0.0,0.0,-0.021302973055852735,-0.011158088322810976,0.04933900983567494,0.07038168060819869,A_10D_TIME,Industrials
25,3,0.05508340533412893,0.0437938965802156,0.054883405334128936,0.0435938965802156,0.56,2.976955532216543,-0.36034533925032997,0.12194447705384917,0.09705352092914876,-0.05957527536456512,-0.043622530275408966,2.0468974135263625,0.0,0.0,0.0,0.0,-0.10693718879771455,-0.03707957241167072,0.09071239544004525,0.2627940297692212,A_10D_TIME,Technology
12,2,-0.0007422305692616852,-0.03647212972570679,-0.0009422305692616898,-0.03667212972570679,0.3333333333333333,0.9693276570990683,-0.31484882700909356,0.05743186313716209,0.06309972831172905,-0.04402208924313844,-0.04156940929061137,1.3046146633332214,0.6666666666666666,0.3333333333333333,0.0,0.0,-0.05845844378720043,-0.04534664617411029,0.07217668811885056,0.09265811260696118,B_ATR_2x_4x,Consumer
13,1,-0.015818971522481386,-0.027830584125565383,-0.016018971522481388,-0.028030584125565382,0.23076923076923078,0.35324384168068534,-0.204057276483961,0.030934044484160372,0.037261649711644695,-0.03236735539534508,-0.035593767279912036,0.9557173919933281,0.7692307692307693,0.15384615384615385,0.0,0.07692307692307693,-0.0386666395602421,-0.03506230126586176,-0.025006601888561762,0.038684715059192874,B_ATR_2x_4x,Defensive
15,1,0.0046471737441981555,-0.03391765377069855,0.004447173744198154,-0.03411765377069855,0.4,1.1817002078263343,-0.20313780883239874,0.051739937256085757,0.06716610335304596,-0.03310093266196939,-0.03463157862387656,1.5630960548592414,0.6,0.4,0.0,0.0,-0.04871126487009378,-0.038570993863014234,0.06631692339513781,0.07857821777946554,B_ATR_2x_4x,Energy
