symbol,signal_timestamp,signal_close,rsi_14,rel_volume,macd,macd_signal,macd_hist,atr_pct,price_acceleration,trend_stack,persistence_1,persistence_2,persistence_3,ema_3,ema_8,ema_21,ema_50,forward_1d,forward_3d,forward_5d,forward_10d,mfe_5d,mae_5d,split
AAPL,2026-01-27T05:00:00+00:00,258.28,45.505754084640586,1.016926142923435,-5.107626304385178,-5.013609667529547,-0.09401663685563122,2.063237018518107,0.011316026469321283,False,True,True,True,255.12185009221653,254.1391203376097,259.1387721474387,264.02537251405334,-0.004077669902912695,0.006058252427184385,0.046446601941747545,0.06246601941747554,0.05572815533980591,-0.020388349514563142,TRAIN
AAPL,2026-02-24T05:00:00+00:00,272.19,56.85890751542464,0.7125321640622512,0.7198117045854246,0.5913493497932651,0.1284623547921595,2.5815737956154603,0.021734234234234373,True,True,True,False,268.54286087389005,266.59890766597954,265.72234855917446,265.6983332641456,0.009723040659988413,-0.027438126104890936,-0.028616676487919768,-0.03966558632881545,0.016757513258691903,-0.04154390100176775,TRAIN
AAPL,2026-03-26T04:00:00+00:00,252.87,42.96541144704592,1.1623610440194738,-3.5466647380619634,-3.4162336784976324,-0.130431059564331,1.9684027365840153,0.0010292545821621868,False,False,False,False,252.35414247104188,252.34124490059094,255.8484582438761,260.13013201158867,-0.02048050413548652,-0.0006695549428910041,0.007837731390311076,0.02571878692398588,0.008763292634895503,-0.032886963371406064,TRAIN
AAPL,2026-04-01T04:00:00+00:00,255.43,49.677111485787655,1.0880401578547874,-2.8937879571523695,-3.3933066835722325,0.49951872641986306,2.001946297839497,0.006700035470776022,False,True,True,True,253.30338390444012,252.1312801411856,254.4612534962612,258.8216726436567,0.006687910618041526,-0.0023604390416617216,0.02458790668397648,0.03593768440930001,0.03131515795271245,-0.03340021243951374,TRAIN
AAPL,2026-07-01T04:00:00+00:00,294.42,51.19311960882509,1.1140536195495392,-2.347358773368285,-1.085222644387509,-1.2621361289807758,2.8260162838316503,0.01790900290416264,False,True,True,True,290.1161565067456,289.32197252426914,292.86083290202663,289.76582711827723,0.0481153408028292,0.05646326742268393,0.07506333202985549,0.13310777496302095,0.0763214716833569,-0.0006630736011696836,TEST
MSFT,2026-01-26T05:00:00+00:00,470.3,49.10427223513761,1.2424751049924858,-7.046843435852679,-6.86819170903412,-0.17865172681855945,2.236414446705749,0.009639123247676018,False,True,True,False,464.32468227648826,462.10620375376783,468.8687709272912,480.0322239629757,0.01480183280896985,-0.0854536624506429,-0.1063155894338984,-0.12648071116366477,0.020798581051120202,-0.11093984247978206,TRAIN
MSFT,2026-02-26T05:00:00+00:00,401.78,40.34757323059228,0.8340716998962462,-15.514006818295854,-17.194834794161917,1.6808279758660625,2.3448333487409587,0.003145910316588507,False,False,False,False,398.57780543438963,398.1793554149988,411.35426169043944,437.82915655196996,0.004770614040697341,0.03290828398582879,0.05045595815161086,0.028022561295355963,0.05279650069704678,-0.002238223745635426,TRAIN
MSFT,2026-03-03T05:00:00+00:00,403.8,43.879046045640976,0.6771954047796868,-12.697250061297268,-15.518473999291839,2.8212239379945707,2.375557206537889,0.013325303018896228,False,True,True,True,400.4447256792987,398.75892854231085,408.21033936171256,433.38239937265996,0.009094306714837463,0.01836302479132934,0.010987915784228086,-0.004235704497321691,0.029114239441883738,-0.0017939454341597827,TRAIN
MSFT,2026-04-06T04:00:00+00:00,372.75,39.03435954301643,0.5960342379457233,-10.80502438956131,-11.073527623625205,0.2685032340638944,2.173229855322411,-0.0020347514122780463,False,True,True,True,371.6443961482913,371.5482879865581,381.3371985085044,402.94790048553165,0.005548880098286579,0.007141989226261858,0.037762086702939124,0.12897433474192987,0.03954420877830134,-0.010112192685198917,TRAIN
MSFT,2026-04-13T04:00:00+00:00,384.33,51.45744486222738,1.2559739563065861,-6.885425505575711,-9.263630195929757,2.378204690354046,2.319528232805885,0.03623715926555038,False,True,True,True,378.15388737963406,374.82149293281987,379.0804172644097,397.906838241291,0.01397040801847238,0.08388694676281272,0.07870125514376758,0.09637388578578698,0.11345312882960745,-0.0026186452703139684,TRAIN
MSFT,2026-05-07T04:00:00+00:00,420.79,57.81089147132453,0.7644498213363592,6.3679103553959635,7.23965894366233,-0.8717485882663665,2.793385231180804,0.016843071866995407,True,False,False,False,417.093692985105,416.44174728267626,410.88809290932534,408.23797816225976,-0.005798004240689103,-0.0230362854438948,-0.019035183343915074,0.00386932927632766,0.0028391053823209056,-0.03945997100997878,TRAIN
MSFT,2026-05-15T04:00:00+00:00,422.0,57.91990169014015,1.2930054957010966,3.3746162260823667,4.684642250223714,-1.3100260241413473,2.693381855111712,0.03067604533020707,True,True,True,True,415.37716707789224,413.62981997260204,411.4676685190774,409.0551326516676,0.01731508165225759,0.011239193083573573,0.005043227665706196,0.1058597502401537,0.039085014409222074,-0.012223823246877985,TRAIN
MSFT,2026-05-28T04:00:00+00:00,426.97,59.30491854305728,1.5034707367229396,3.4809179930072673,3.707714358306559,-0.22679636529929148,2.4361029045198883,0.034552106806232,True,True,True,True,421.04225455889804,418.7562042135073,415.6943057371051,411.88927649640044,0.03872332066052664,0.020026115996625737,-0.010619734911078593,-0.09806210060436582,0.07761997758184358,-0.019425216959219838,TRAIN
MSFT,2026-07-01T04:00:00+00:00,384.38,47.0024277675302,1.2278446327820913,-11.743081131618169,-11.289226832658823,-0.4538542989593459,3.396378583693221,0.030730451571382655,False,True,True,True,377.2895332577532,375.10987911097266,386.8514894114589,398.9056736815589,0.014153766098607967,0.011421881097957609,-0.0002861974762586872,0.04363210615324564,0.02906205281644314,-0.02829452322102255,TEST
MSFT,2026-07-28T04:00:00+00:00,393.44,51.83065073256776,1.0535767971474304,-0.58227728471104,-1.2728797362649762,0.6906024515539362,2.938004705745657,0.011024026724913316,False,True,True,True,390.21947471440603,389.9565572064714,389.7448728951395,394.46030488484877,-0.0059743231219017146,0.18139061904156595,0.2529045379433075,0.2807169187746281,0.2694546841235539,-0.011707131053768971,TEST
AVGO,2026-01-12T05:00:00+00:00,352.18,50.04551364171328,0.5081153327460062,-5.351280861037253,-5.724953602597136,0.37367274155988284,2.9468494195338404,0.02107796236699433,False,True,False,False,346.8958267574484,345.3473400339385,350.26850466060455,354.4419297137121,0.004944883674799616,-0.02779903085947466,-0.05702910255320359,-0.05702910255320359,0.018589362124174613,-0.05973532828926853,TRAIN
AVGO,2026-01-16T05:00:00+00:00,351.72,50.48476735513798,0.9188520236723836,-3.7631164302627553,-4.859314177206862,1.0961977469441067,3.3230573020747007,0.02518363064008411,False,False,False,False,347.9519266723405,346.5983041337428,349.3188420603815,353.3841301959154,-0.0329410055216508,-0.05402499273467021,-0.05579773321708814,-0.037692531240918425,0.003661726242371266,-0.0870677128741646,TRAIN
AVGO,2026-02-09T05:00:00+00:00,343.86,54.65760037468832,1.280175847743297,-5.615094431845364,-6.991260455687849,1.3761660238424849,4.67092088973087,0.033885564809525315,False,True,True,True,333.5119933144126,328.2678822022573,332.35689958470056,341.48963660659325,-0.018512644539923295,-0.04535886271230427,-0.041033478474004514,-0.061564635658467703,0.0034603073906398496,-0.08770437440525969,TRAIN
