symbol,signal_timestamp,signal_close,entry_next_open,ema_3,ema_8,ema_21,ema_50,rsi_14,macd,macd_signal,rel_volume,atr_pct,price_acceleration,persistence_bars,signal_score,signal_status,forward_1d,forward_3d,forward_5d,forward_10d,mfe_5d,mae_5d,complete_10d,outcome
COST,2026-03-27 04:00:00+00:00,984.11,990.765,980.4434552247894,980.2843312992093,985.0417484294558,971.7247781414832,51.77143903131806,-1.9257839467951499,0.9074503419755167,0.8197039576944438,1.457081598021128,-0.0013882575150316878,1,40,EARLY,0.006071066297255179,0.005717803919193631,0.028013706580268805,-0.01022946914757783,0.0301332808486372,-0.004355220460956932,True,STRONG_POSITIVE
COST,2026-04-20 04:00:00+00:00,997.79,993.59,995.3445911698982,995.1454610720267,995.5291229985285,984.6405186991475,51.96695529110391,1.1966982864699958,2.749773946549925,1.5957269882120917,1.8671621426209064,-0.014887659401797815,1,55,EARLY,0.012248512968125569,0.020853672037761894,0.004347869845710894,0.019635865900421656,0.022242574905142032,-0.0068237401745187,True,FLAT
COST,2026-04-30 04:00:00+00:00,1014.45,1014.75,1006.6217366842575,1003.5241783480669,1000.4854357982155,990.1919284372084,57.23868709842059,3.087477220370488,2.808152589456376,0.8776647666015334,1.6049161051379004,0.011153361811861773,1,70,EARLY,-0.003015521064301474,0.0018132544961813046,-0.002305986696230611,0.02614437053461449,0.01627494456762757,-0.0230845035723084,True,FLAT
COST,2026-05-07 04:00:00+00:00,1012.41,1011.05,1008.5672417713831,1007.5491985553685,1003.9321723542326,993.7373815491859,54.53791110810667,3.7311449243477455,3.5218158039505676,0.8291456144608317,1.7103107577816448,0.037551800234200905,2,70,CONFIRMED,-0.0024825676277137054,0.010583057217743885,0.029899609317046716,0.03863310419860544,0.03033480045497261,-0.02539933732258537,True,POSITIVE
COST,2026-05-12 04:00:00+00:00,1021.75,1019.395,1012.8784052214229,1009.4399932846246,1005.5285667575,995.5873899320788,57.308785288154944,3.866853165125349,3.486336681574346,1.0807870045578192,1.8000978712992424,0.03130515651474164,2,70,CONFIRMED,0.013336341653627848,0.029336027741944992,0.07422539839806941,-0.015239431231269474,0.07559876201080051,0.0,True,STRONG_POSITIVE
COST,2026-06-10 04:00:00+00:00,983.685,984.77,976.9063571437886,976.6606003295667,991.8814746895237,997.4299638791181,46.19064081488204,-12.767250594698112,-9.5058721051645,0.7420448765761638,2.3816059002627843,0.02212460146713957,1,25,EARLY,-0.009758623841099934,-0.005189028910303928,-0.019111061466129065,-0.043543162362785215,0.01039328980371046,-0.023772048295541026,True,FLAT
COST,2026-06-12 04:00:00+00:00,982.32,973.71,979.1765892859471,977.6588816808489,989.6303096607633,995.9983326696512,46.316274204331705,-11.360462225233505,-10.336299763952994,0.6426465368798747,2.15241178318383,0.016008777027967214,2,25,FAILED,0.006110648961189513,-0.007969518645181806,-0.0230458760822011,-0.028170605210997124,0.021869961282106498,-0.03194996456850607,True,NEGATIVE
COST,2026-07-08 04:00:00+00:00,953.25,933.36,950.074534860066,948.5622257991563,958.6513342011137,975.1030890619927,45.89566747606689,-11.94639869731111,-13.391893268550245,1.0597745695013305,1.9729122176014386,0.009727165420915118,1,35,EARLY,-0.021861875374989292,-0.00784263306762667,-0.018160195422987968,-0.0066319533727607904,0.0010285420416560331,-0.027717065226707804,True,FLAT
COST,2026-07-16 04:00:00+00:00,945.46,962.575,932.6526489821886,931.4468261444731,943.7290930208519,964.1190268648148,48.69303618645038,-13.771938327573594,-14.568755157426958,0.8038204495625693,2.161230663229689,0.03738524046390812,1,35,EARLY,-0.022585253097161306,-0.03446484689504725,-0.03794509518738809,-0.008991507155286738,0.001521959327844602,-0.04727423837103606,True,NEGATIVE
COST,2026-07-24 04:00:00+00:00,935.35,940.295,931.7066820153467,931.5882645469039,938.6644057815968,957.3371832040592,46.70337302473593,-9.564312393285377,-11.656499491276993,0.9091642621734701,1.9443829277046762,0.011250631246479625,1,35,EARLY,0.01198028278359442,0.036238627239323806,0.012033457585119534,0.007907092986775499,0.04967589958470486,-0.0023184213464922943,True,POSITIVE
COST,2026-08-10 04:00:00+00:00,952.765,950.3,950.2680403720778,949.5638115856943,947.5868019049418,955.864850049007,52.02101973169898,0.2706385470373789,-1.3181729855766156,0.8397495533011414,1.8387835105493706,0.006524649690925477,1,60,EARLY,-0.006534778491002813,0.011996211722614003,0.00370409344417566,0.0226770493528361,0.015847627065137315,-0.013258970851310004,True,FLAT
COST,2026-08-13 04:00:00+00:00,961.7,963.34,955.0247550465098,951.5173215005394,948.7668684484913,955.4283667926788,55.80485966469304,1.1135336533467353,-0.4604613380334145,0.684744705689981,1.890922325049391,0.007075963616666403,1,60,EARLY,-0.0025951377499117134,-0.0017958353229389212,-0.0313285029169349,,0.015191936387983551,-0.0388647829426787,False,NEGATIVE
