signals,mean_return,median_return,positive_rate,profit_factor,expectancy,mfe_mean,mfe_median,mae_mean,mae_median,mfe_mae_ratio,stop_hit_rate,target_hit_rate,ambiguous_rate,max_drawdown,p10_return,p25_return,p75_return,p90_return,policy
158,0.018317627107018838,0.01889410821683013,0.6455696202531646,2.330039644588731,0.018317627107018838,0.0515921193769273,0.04129399041078419,-0.03563986010119927,-0.025193622392399473,1.4475960127349448,0.0,0.0,0.0,-0.19382102520834255,-0.053346177263336424,-0.013734826067897749,0.056206251281920416,0.08855984415924519,TIME_10D
156,0.014841899221087211,0.01757831629654394,0.6153846153846154,2.0074544459988446,0.014841899221087211,0.04798665671299029,0.04059282391845653,-0.031523639180026465,-0.025193622392399473,1.5222435594744046,0.24358974358974358,0.15384615384615385,0.0,-0.1876134580253529,-0.051365141822101446,-0.02917636529103307,0.05564417764821833,0.07746686397982416,ATR_SL2.0_TP4.0
158,0.008241024965288906,0.008086379632359586,0.5949367088607594,1.711437888020655,0.008241024965288906,0.03476651030755291,0.02860093371594885,-0.027445406246888186,-0.021454188358262127,1.2667515282815245,0.0,0.0,0.0,-0.18433902068757757,-0.041384711381140825,-0.015311192091832765,0.02854192854533355,0.05093519540271481,TIME_5D
156,0.010809534568952827,0.012706249117163892,0.5576923076923077,1.7126284633972961,0.010809534568952827,0.041790302805048384,0.0343914545569135,-0.02912761901178195,-0.024880564927763527,1.4347311665997984,0.38461538461538464,0.24358974358974358,0.0,-0.17816614477264292,-0.04462547970647701,-0.028580580852886783,0.050489015767609724,0.06756054333944983,ATR_SL1.5_TP3.0
158,0.004325411680521776,0.00162113307459677,0.5569620253164557,1.4832058662558585,0.004325411680521776,0.025001552323745783,0.018020197408291305,-0.020504324584080573,-0.014933927454626073,1.2193306939335533,0.0,0.0,0.0,-0.16481038449447427,-0.031987666294223074,-0.013558544212227158,0.01994676474262591,0.036489609446012,TIME_3D
156,0.01058671658722429,0.009055079648865538,0.5384615384615384,1.6835350485115836,0.01058671658722429,0.04440669100722266,0.0343914545569135,-0.029620113943597544,-0.02510005209683841,1.499207298519568,0.3974358974358974,0.1346153846153846,0.0,-0.18144470166994886,-0.04462547970647701,-0.028580580852886783,0.05058765349113048,0.07675133844268756,ATR_SL1.5_TP4.0
158,0.0006813467707835653,0.0013079258287570505,0.5126582278481012,1.117339340069652,0.0006813467707835653,0.01227904044097228,0.009671328486831499,-0.012318497235590177,-0.007860252769213816,0.9967969473984294,0.0,0.0,0.0,-0.2072046507225952,-0.02062144184758541,-0.007183651696950011,0.011244769095820117,0.020206809593018817,TIME_1D
158,0.008177228316763945,0.0036913250859537117,0.5063291139240507,1.6177792869755374,0.008177228316763945,0.03704365979519448,0.031737980986406455,-0.025650141115884276,-0.024880564927763527,1.444189317627363,0.4240506329113924,0.27848101265822783,0.0,-0.21625664056230398,-0.030000000000000027,-0.030000000000000027,0.06000000000000005,0.06000000000000005,FIXED_SL3.0_TP6.0
158,0.002262735813575455,-0.0004253847980367764,0.4810126582278481,1.8189119638951532,0.002262735813575455,0.012386601831894415,0.009671328486831499,-0.012487495117571492,-0.008301181510914801,0.991920454444454,1.0,0.0,0.0,-0.0638055081266733,-0.008995602048610007,-0.005484773079531519,0.006397112530252991,0.01597249118560476,TRAIL_1.0
158,0.0017769933529626207,-0.00135807977296859,0.4810126582278481,1.1929745032637733,0.0017769933529626207,0.02935520553540292,0.0260836098008711,-0.01929191829274245,-0.016834417896355758,1.5216322757517713,0.8607594936708861,0.0,0.0,-0.1803373395192419,-0.026459833178882407,-0.019937939889185075,0.016655343454018035,0.0354140376995856,TRAIL_3.0
158,0.0043887188978554165,-0.014999999999999902,0.4430379746835443,1.5253163529251177,0.0043887188978554165,0.023333502667988344,0.02241359617264549,-0.01764670116433537,-0.01635339688273596,1.3222586165365688,0.5569620253164557,0.4050632911392405,0.006329113924050633,-0.14026955774085725,-0.015000000000000013,-0.015000000000000013,0.030000000000000027,0.030000000000000027,FIXED_SL1.5_TP3.0
158,0.005086895879290227,-0.019999999999999907,0.4430379746835443,1.464774169184786,0.005086895879290227,0.02982977007034672,0.026750981256056572,-0.021317274067420438,-0.02171962236190428,1.3993238523839255,0.5443037974683544,0.36075949367088606,0.0,-0.1701938600392532,-0.020000000000000018,-0.020000000000000018,0.040000000000000036,0.040000000000000036,FIXED_SL2.0_TP4.0
156,0.004344729651759231,-0.014972347086536275,0.4423076923076923,1.3087548478709659,0.004344729651759231,0.0343415749184374,0.028751893068706402,-0.024553636581612078,-0.021892919800372057,1.3986349763014492,0.5576923076923077,0.33974358974358976,0.0,-0.20487381521768866,-0.03517801850720803,-0.023027952427089188,0.037285224298237274,0.05466647595071816,ATR_SL1.0_TP2.0
156,0.006887312576109308,-0.015673955212779977,0.4230769230769231,1.4759273825259178,0.006887312576109308,0.0372681657783564,0.028990824262533965,-0.024941359606560687,-0.022670616691309542,1.494231524112792,0.5705128205128205,0.21794871794871795,0.0,-0.20487381521768855,-0.035864999259885955,-0.023597497669706452,0.041979880509161016,0.06487526092934315,ATR_SL1.0_TP3.0
158,-0.0006014670480407216,-0.0041360171209839924,0.3987341772151899,0.908904059305735,-0.0006014670480407216,0.01942469562940901,0.016187737631649046,-0.015792223749039096,-0.01313377011092487,1.2300164902736348,0.9746835443037974,0.0,0.0,-0.29336434966525127,-0.018355776404522017,-0.012430868813038065,0.007894236645795472,0.022901930670187424,TRAIL_2.0
158,0.0017721518987341767,-0.010000000000000009,0.3924050632911392,1.2916666666666663,0.0017721518987341767,0.017530648701777167,0.01457981723893853,-0.015066851927381091,-0.012749839586662204,1.1635243238780757,0.6075949367088608,0.43670886075949367,0.04430379746835443,-0.14147828450258215,-0.010000000000000009,-0.010000000000000009,0.020000000000000018,0.020000000000000018,FIXED_SL1.0_TP2.0
158,0.006085253666444599,-0.019999999999999907,0.3924050632911392,1.5089053728916526,0.006085253666444599,0.03363276475454113,0.026750981256056572,-0.022555214481437595,-0.022670616691309542,1.4911303451456912,0.5949367088607594,0.2468354430379747,0.0,-0.17014375626762435,-0.020000000000000018,-0.020000000000000018,0.0518199040916697,0.06000000000000005,FIXED_SL2.0_TP6.0
158,0.004535487257310891,-0.015000000000000013,0.36075949367088606,1.4756963134345442,0.004535487257310891,0.0279862041230205,0.02241359617264549,-0.019137389469026926,-0.018403599068906984,1.462383579971292,0.6329113924050633,0.27848101265822783,0.006329113924050633,-0.14026955774085714,-0.015000000000000013,-0.015000000000000013,0.04499999999999993,0.04499999999999993,FIXED_SL1.5_TP4.5
158,-0.0007073930680504148,-0.0038633275340891338,0.35443037974683544,0.8557659578484126,-0.0007073930680504148,0.014510260844618884,0.01130626646285382,-0.013868321701602187,-0.010083604288198988,1.0462881635448746,1.0,0.0,0.0,-0.24149757383848636,-0.013429234847648009,-0.008993850852394514,0.004759854465096414,0.015728738253051412,TRAIL_1.5
158,0.003019696243975544,-0.010000000000000009,0.33544303797468356,1.4543923871887001,0.003019696243975544,0.01949088923292151,0.01457981723893853,-0.016007735896655717,-0.013710260184234602,1.2175918792484253,0.6645569620253164,0.3227848101265823,0.0189873417721519,-0.12403661078476702,-0.010000000000000009,-0.010000000000000009,0.030000000000000027,0.030000000000000027,FIXED_SL1.0_TP3.0
