symbol,crossover_timestamp,decision_timestamp,persistence_level,signal_close,rsi_14,rel_volume,macd,macd_signal,macd_hist,atr_pct,price_acceleration,trend_stack,ema_3,ema_8,ema_21,ema_50,entry_timestamp,entry_open,forward_1d,forward_3d,forward_5d,forward_10d,mfe_5d,mae_5d
AAPL,2024-01-09T05:00:00+00:00,2024-01-09T05:00:00+00:00,1,185.07,,0.7353386884923648,-0.4013587670247034,-0.28528794053540696,-0.11607082648929645,,-0.0025062656641604564,False,184.4859375,184.36346932208843,184.8462270957647,185.20191104122983,2024-01-10T05:00:00+00:00,184.33,0.009765095209678165,0.008137579341398471,-0.009168339391309233,0.05552541637280961,0.014566267021103307,-0.021808712634948213
AAPL,2024-01-09T05:00:00+00:00,2024-01-10T05:00:00+00:00,2,186.13,,0.8585076498948221,-0.2454884026294053,-0.2773280329542066,0.031839630324801305,,0.005727562543902387,False,185.30796875,184.75603169495767,184.96293372342245,185.23830668667182,2024-01-11T05:00:00+00:00,186.61,-0.00525159423396393,-0.01629065966454113,0.011199828519371735,0.04061947376882258,0.013530893306896719,-0.03376024864691074
AAPL,2024-01-09T05:00:00+00:00,2024-01-11T05:00:00+00:00,3,185.63,,0.7764966452311767,-0.16045619801622024,-0.25395366596660934,0.0934974679503891,,-0.002686294525331756,False,185.468984375,184.95024687385595,185.02357611220222,185.25366720876312,2024-01-12T05:00:00+00:00,186.07,-0.0012898371580586376,-0.018433922717256968,0.02945128177567602,0.033858225399043373,0.03157413876498083,-0.030956091793411078
AAPL,2024-01-18T05:00:00+00:00,2024-01-18T05:00:00+00:00,1,188.7,,1.3774150679713442,0.011300871034734428,-0.1898041186143914,0.20110498964912582,,0.033180026281208974,False,186.1624365234375,185.29066037862037,185.10667721617529,185.2494362811607,2024-01-19T05:00:00+00:00,189.35,0.01161869553736472,0.030525481911803487,0.025561130182202296,-0.013044626353313937,0.03707420121468186,-0.0026670187483496255
AAPL,2024-01-18T05:00:00+00:00,2024-01-19T05:00:00+00:00,2,191.55,,1.0952435609531992,0.5216970300347441,-0.047503888884564305,0.5692009189193084,,0.015103338632750596,True,188.85621826171877,186.68162473892696,185.69243383288662,185.49651721131127,2024-01-22T05:00:00+00:00,192.39,0.007796663028224016,0.011305161390924745,-0.00010395550704289658,-0.03404542855657766,0.020687145901554294,-0.002338998908467116
AAPL,2024-01-18T05:00:00+00:00,2024-01-22T05:00:00+00:00,3,193.89,,0.9582892811194149,1.1023014619574667,0.1824571812838419,0.9198442806736248,1.8069892354280426,0.012216131558339782,True,191.37310913085938,188.28348590805427,186.43766712080603,185.82567339910298,2024-01-23T05:00:00+00:00,195.13,0.0,-0.004817301286321962,-0.017244913647312066,-0.03838466663250151,0.006354737867062976,-0.028263209142622814
AAPL,2024-02-07T05:00:00+00:00,2024-02-07T05:00:00+00:00,1,189.37,46.8669436345721,0.6948741336514588,0.5423048615521395,0.8686788618836367,-0.3263740003314972,1.771098152520765,0.0003697834125726551,True,188.77396316140891,188.58605215755233,188.34431350204943,187.27451282709006,2024-02-08T05:00:00+00:00,189.5,-0.005910290237467031,-0.012137203166227017,-0.028918205804749242,-0.027229551451187328,0.0025857519788918815,-0.03725593667546179
AAPL,2024-02-07T05:00:00+00:00,2024-02-08T05:00:00+00:00,2,188.38,44.830275426736286,0.5649234049055437,0.4803805222720996,0.7910191939613294,-0.31063867168922976,1.7385072725342392,-0.005227860801605422,True,188.57698158070446,188.54026278920736,188.34755772913584,187.3178652652434,2024-02-09T05:00:00+00:00,188.675,0.0008480190804291965,-0.01902742811713265,-0.025520074201669574,-0.03272823638531874,0.006969656817278347,-0.03834636279316295
AAPL,2024-02-07T05:00:00+00:00,2024-02-09T05:00:00+00:00,3,188.835,45.99192001951491,0.6158457571247566,0.4626861764284911,0.7253525904547617,-0.26266641402627067,1.6667990573781353,0.002415330714513386,True,188.70599079035225,188.6057599471613,188.39187066285075,187.37736074503778,2024-02-12T05:00:00+00:00,188.42,-0.006474896507801753,-0.023352085765842134,-0.03248062838339871,-0.03831864982485933,0.001220677210487242,-0.03704489969217695
AAPL,2024-03-18T04:00:00+00:00,2024-03-18T04:00:00+00:00,1,173.68,39.470731166253444,0.9165820491042069,-3.41169171957867,-3.5278952515573145,0.11620353197864475,2.043783312495887,0.006315545512486365,False,173.09915499913666,173.0509813317939,176.2123332032977,180.55478486705746,2024-03-19T04:00:00+00:00,174.34,0.010095216244120575,-0.016978318228748512,-0.019788918205804862,-0.031031318114030038,0.02449237122863379,-0.02804864058735812
