filter,signals,coverage_pct,forward_1d_mean,forward_3d_mean,forward_5d_mean,forward_5d_median,forward_10d_mean,forward_10d_median,mfe_5d_mean,mae_5d_mean,positive_rate,strong_positive_rate,period_start,period_end,persistence_level,conditions,period_type,train_start,train_end,test_start,test_end,selected_filter,raw_mean,raw_median,raw_positive_rate,mean_lift_vs_raw,median_lift_vs_raw,positive_rate_lift_vs_raw
RAW_CROSSOVER,104,100.0,-0.0022665887156017262,-0.008065191208834336,-0.0013539809042123698,-0.0017391629607619863,-0.007056498201403843,-0.010926459045603798,0.02648311259716861,-0.03514241922891194,0.47115384615384615,0.08653846153846154,2026-01-01,2026-03-31,1,NONE,WALK_FORWARD_TEST,2024-01-01,2025-12-31,2026-01-01,2026-03-31,PERSISTENCE_3,-0.0013539809042123698,-0.0017391629607619863,0.47115384615384615,0.0,0.0,0.0
PERSISTENCE_3,68,100.0,-0.004786220052963132,0.0017163995379295954,-0.005835431860836739,-0.00993644750424394,-0.0025685290887535774,-0.008348030233368331,0.02584841781046338,-0.03472521314239347,0.4264705882352941,0.04411764705882353,2026-01-01,2026-03-31,3,NONE,WALK_FORWARD_TEST,2024-01-01,2025-12-31,2026-01-01,2026-03-31,PERSISTENCE_3,-0.0013539809042123698,-0.0017391629607619863,0.47115384615384615,-0.00448145095662437,-0.008197284543481953,-0.044683257918552044
RAW_CROSSOVER,100,100.0,0.0007985046243686345,0.006323025159244401,0.0063410594258190445,0.0043907935423690425,0.00867096949310007,0.003761225645301458,0.03838904434219547,-0.03004966565786285,0.54,0.2,2026-04-01,2026-06-30,1,NONE,WALK_FORWARD_TEST,2024-01-01,2026-03-31,2026-04-01,2026-06-30,TREND_STACK + REL_VOLUME_GE_1,0.0063410594258190445,0.0043907935423690425,0.54,0.0,0.0,0.0
TREND_STACK + REL_VOLUME_GE_1,19,19.0,-0.0017907940151259054,0.004553268206736644,0.00405386604656429,0.013208901651112548,0.008236418030892484,0.004207254671568794,0.03279413249298353,-0.025208790552614053,0.5789473684210527,0.15789473684210525,2026-04-01,2026-06-30,1,TREND_STACK + REL_VOLUME_GE_1,WALK_FORWARD_TEST,2024-01-01,2026-03-31,2026-04-01,2026-06-30,TREND_STACK + REL_VOLUME_GE_1,0.0063410594258190445,0.0043907935423690425,0.54,-0.002287193379254754,0.008818108108743505,0.03894736842105262
RAW_CROSSOVER,60,100.0,0.001041225086869722,0.003295999889445023,-0.0002994622607052485,-0.0015595914846185388,0.016281604401454017,0.021742052557295555,0.03589287716264603,-0.031253066957962324,0.4666666666666667,0.08333333333333333,2026-07-01,2026-08-25,1,NONE,WALK_FORWARD_TEST,2024-01-01,2026-06-30,2026-07-01,2026-08-25,MACD_HIST_GT_0,-0.0002994622607052485,-0.0015595914846185388,0.4666666666666667,0.0,0.0,0.0
MACD_HIST_GT_0,36,60.0,-0.001970531350184623,0.0017031542699260322,-0.001181503731020957,-0.011061100737298157,0.01242658438050624,0.011655871248851812,0.03650686446239229,-0.03571963975152159,0.4166666666666667,0.1111111111111111,2026-07-01,2026-08-25,1,MACD_HIST_GT_0,WALK_FORWARD_TEST,2024-01-01,2026-06-30,2026-07-01,2026-08-25,MACD_HIST_GT_0,-0.0002994622607052485,-0.0015595914846185388,0.4666666666666667,-0.0008820414703157085,-0.009501509252679619,-0.04999999999999999
